,Relaxed,Dizzy,Hungry,Euphoric,Happy,Depression,Insomnia,Pain,Stress,Cramps,Creative,Energetic,Talkative,Lack of Appetite,Nausea,Dry Mouth,Headache,Uplifted,Tingly,Paranoid,Sleepy,Fatigue,Headaches,Dry Eyes,Focused,Eye Pressure,Anxious,Giggly,Aroused,Inflammation,Spasticity,Seizures,Muscle Spasms
Bhang Lemon Skunk,yes,no,yes,no,no,yes,no,no,yes,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Bhang Mango OG,yes,no,no,yes,yes,yes,no,yes,yes,no,no,no,no,yes,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
Bhang Master Kush,yes,no,no,yes,no,no,yes,yes,yes,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,no,yes,no,no,no
Bhang Maui Waui,yes,no,yes,no,yes,yes,no,no,yes,yes,yes,no,no,no,no,no,no,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no
Bhang Mr. Nice,yes,no,no,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,yes,no,no,yes
Bhang Northern Lights,yes,no,no,yes,yes,yes,yes,no,yes,no,yes,no,no,yes,no,yes,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes
Bhang Ogre,no,yes,no,yes,no,yes,yes,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,yes,yes,yes,no,no,no,no,yes,no,no,no,no
Bhang Perfecto Hybrid,yes,no,no,yes,yes,yes,yes,yes,no,no,no,no,no,yes,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Bhang Perfecto Indica,yes,no,no,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no
Bhang Pineapple Express,yes,no,no,no,yes,yes,no,no,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,yes,yes
Bhang Pineapple Kush,no,no,no,yes,no,yes,yes,no,no,no,yes,yes,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,yes
Bhang Purple Diesel,yes,no,no,yes,yes,yes,no,yes,yes,no,no,no,no,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no
Bhang Purple Erkle,yes,no,yes,yes,yes,no,no,yes,yes,yes,no,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
Bhang Skunk #1,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no
Bhang Skywalker OG,yes,no,no,no,yes,yes,no,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,yes
Bhang Sour Diesel,yes,no,no,yes,yes,no,no,yes,yes,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes
Bhang Sour OG,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
Bhang Strawberry Cough,no,no,yes,no,no,no,no,no,yes,no,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
Bhang Strawberry Diesel,no,no,no,yes,yes,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
Bhang Super Lemon Haze,no,no,no,yes,no,yes,yes,yes,no,no,yes,yes,no,no,no,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no
Bhang Tangie,no,no,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no
Bhang Triple Berry Goo,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,yes,no,yes,no,no,no,no,no,no,no
Bhang White Diesel,yes,no,no,yes,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Bhang White Widow,no,no,no,no,yes,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no
Bhang XJ-13,yes,no,no,no,no,no,no,yes,yes,no,no,yes,no,no,no,no,yes,yes,no,no,no,yes,no,no,yes,no,no,no,no,yes,no,no,no
Bhang Yoda OG,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no
Bianca,yes,no,no,no,no,no,yes,yes,yes,no,yes,no,no,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes
Biddy Early,no,no,no,yes,no,yes,no,yes,yes,no,yes,yes,no,no,yes,no,no,yes,no,no,no,yes,no,no,yes,no,yes,no,no,no,no,no,no
Big Band,yes,no,yes,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,yes,no,yes,no,no,no
Big Bang,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,no,no,no,yes,yes,no,yes,yes,no,no,yes,no,no,no,no,no,no
Big Bud,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,yes,no,no,yes,yes,no,no,yes,no,no,no,no,no,yes,no,no,no
Big Buddha Cheese,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,yes,yes,no,yes,yes,no,yes,yes,no,no,no,no,no,no,no,no,no
Big Holy Nina,no,no,no,yes,yes,no,no,no,yes,no,no,no,yes,yes,yes,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
Big Kush,yes,no,no,yes,yes,no,yes,yes,yes,yes,no,no,no,no,yes,yes,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no
Big Mac,yes,yes,no,no,no,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no
Big Skunk Korean,no,no,yes,no,no,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
Big Sky OG,yes,no,no,no,no,yes,no,yes,yes,no,yes,no,no,no,no,yes,no,yes,yes,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no
Big Smooth,no,no,no,no,yes,yes,yes,no,no,no,yes,no,no,yes,no,no,no,no,yes,no,no,yes,yes,no,no,no,no,yes,yes,no,no,no,no
Big Sur Holy Bud,yes,no,no,no,yes,yes,no,no,yes,no,yes,no,no,no,yes,no,no,yes,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,yes
Big White,yes,no,no,no,no,yes,yes,yes,yes,no,no,no,no,yes,no,yes,yes,yes,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no
Big Wreck,yes,yes,no,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,yes,yes,yes,no,no,yes,yes,no,yes,no,no,yes,no,no,no,no,no,yes
Biker Le’Blanc,yes,no,no,yes,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no
Bio-Diesel,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,yes,no,no,yes,yes,yes,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no
Bio-Jesus,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,yes,yes,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,yes
Biochem,yes,no,yes,yes,no,yes,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,yes,no,no,no,no
Birthday Cake Kush,yes,yes,no,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,yes,no,no,yes,yes,no,yes,no,no,yes
Black '84,yes,no,yes,no,yes,no,yes,yes,yes,yes,no,no,no,yes,no,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no
Black Afghan,yes,no,yes,yes,no,yes,no,yes,yes,no,no,no,no,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no
Black Betty,no,yes,no,yes,yes,yes,no,yes,yes,no,no,yes,yes,no,no,yes,no,yes,no,yes,no,yes,yes,yes,no,no,yes,no,no,no,no,no,no
Black Bubba,yes,no,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no
Black Cherry Cheesecake,yes,no,no,yes,yes,no,no,yes,no,yes,yes,no,no,no,yes,yes,no,yes,no,yes,no,no,yes,yes,no,yes,yes,no,no,no,no,no,no
Black Cherry OG,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,yes,yes,no,no,yes,yes,no,yes,no,no,yes,no,no,no,no,no,no
Black Cherry Pie,yes,no,no,yes,yes,no,yes,yes,no,yes,yes,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Black Cherry Soda,yes,yes,no,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,yes,yes,yes,no,yes,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no
Black Dahlia,yes,yes,no,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,yes,no,no,no,yes,no,no,yes,yes,no,yes,no,no,yes,no,no,no
Black Diamond,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,no,yes,no,yes,no,yes,no,no,no,yes,no,no,yes,no,no,no,no,no,no
Black Diesel,yes,yes,no,yes,yes,yes,no,yes,yes,no,yes,no,no,no,no,yes,yes,yes,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,yes
Black Domina,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,no,yes,no,yes,yes,no,no,yes,no,no,yes,no,no,yes,no,no,no
Black Haze,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,yes,yes,no,yes,no,no,yes,yes,yes,no,no,no,no,no,no,no,no
Black Ice,yes,yes,yes,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,no
Black Jack,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,no,yes,yes,yes,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no
Black Label Kush,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,no,yes,no,yes,yes,no,no,yes,no,no,no,no,no,yes,no,no,no
Black Lime Special Reserve,yes,no,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,yes,yes,yes,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no
Black Magic,yes,no,no,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no
Black Magic Kush,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,yes,no,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no
Black Mamba,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,yes,yes,no,no,yes,no,yes,yes,no,no,yes,no,no,no,no,no,no
Black Russian,yes,no,no,yes,yes,no,yes,no,yes,no,no,no,no,yes,yes,yes,no,yes,no,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no
Black Tuna,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,no,yes,no,yes,no,yes,yes,no,no,yes,no,no,yes,no,no,no,no,no,no
Black Velvet,yes,no,yes,no,yes,yes,no,yes,no,no,no,no,no,yes,yes,yes,no,no,no,no,yes,no,no,yes,no,yes,no,yes,no,no,no,no,no
Black Widow,yes,yes,no,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,yes,yes,yes,no,yes,no,no,yes,yes,yes,no,no,no,no,yes,no,no,no
Blackberry,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,yes,yes,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,yes
Blackberry Bubble,yes,no,no,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,yes,no,no,yes
Blackberry Chem OG,yes,no,no,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no
Blackberry Cream,yes,no,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes
Blackberry Diesel,yes,no,yes,no,yes,yes,no,no,yes,no,no,no,yes,yes,no,yes,yes,no,no,no,yes,no,yes,no,no,yes,yes,no,no,no,no,no,no
Blackberry Dream,yes,no,no,no,no,yes,no,yes,no,no,yes,yes,no,no,no,yes,no,yes,no,no,no,no,no,yes,no,no,no,yes,no,no,no,yes,yes
Blackberry Hashplant,no,yes,no,yes,yes,no,yes,yes,yes,no,no,yes,no,no,yes,yes,yes,yes,no,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no
Blackberry Haze,yes,no,yes,no,yes,yes,no,yes,yes,no,no,no,no,no,no,yes,no,yes,yes,yes,no,no,yes,yes,no,no,no,no,no,yes,no,no,no
Blackberry Kush,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,no,yes,yes,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no
Blackberry Lime Haze,yes,no,no,yes,yes,yes,no,yes,yes,no,no,no,yes,yes,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
Blackberry Pie,yes,no,yes,yes,yes,no,no,yes,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no
Blackberry Rhino,yes,no,yes,no,yes,yes,yes,yes,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes
Blackberry Trainwreck,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,yes,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Blackberry x Blueberry,yes,no,no,yes,yes,yes,no,no,yes,no,no,no,no,yes,no,no,no,yes,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no
Blackwater,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,no,yes,yes,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no
Blaze,no,no,no,yes,no,yes,no,yes,yes,no,yes,yes,no,no,yes,yes,no,yes,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no
Blissful Wizard,yes,no,no,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Blob OG,yes,no,no,yes,no,yes,no,no,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,yes,no,no,no
Blockhead,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,no,yes,no,yes,yes,no,no,yes,yes,no,yes,yes,no,no,no,no,no,no,no,no,no
Bloo's Kloos,yes,no,no,yes,yes,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,yes,no,no,no
Bloodhound,yes,no,yes,no,yes,yes,no,no,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no
Blowfish,yes,no,no,yes,yes,no,yes,yes,yes,no,no,no,no,no,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes
Blucifer,yes,no,no,no,yes,yes,no,yes,no,no,yes,no,no,yes,yes,no,no,yes,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no
Blue Afghani,yes,no,no,yes,yes,yes,no,no,no,no,no,no,no,yes,yes,yes,no,yes,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no
Blue Alien,yes,no,yes,yes,no,no,yes,yes,yes,no,no,no,no,no,no,yes,no,no,no,yes,yes,yes,no,yes,no,no,no,no,no,yes,no,no,no
Blue Bastard,no,yes,no,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,no,yes,yes,yes,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,yes
Blue Bayou,no,no,yes,no,yes,yes,no,no,yes,no,yes,no,no,no,yes,yes,yes,yes,no,yes,no,no,no,yes,no,no,no,yes,no,no,no,no,no
Blue Blood,yes,no,no,yes,yes,yes,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,yes
Blue Boy,no,no,no,no,yes,yes,no,yes,yes,no,yes,no,yes,no,no,yes,yes,yes,no,yes,no,yes,no,yes,no,no,yes,yes,no,no,no,no,yes
Blue Buddha,yes,no,no,no,yes,yes,yes,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,yes,no
Blue Champagne,no,yes,no,yes,yes,yes,no,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,no,no,yes,no,no,yes,no,no,no,no,no,no
Blue Cheese,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,no,yes,yes,yes,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no
Blue Cinex,no,no,no,no,yes,yes,no,yes,yes,no,yes,yes,no,no,no,no,no,yes,no,no,no,yes,no,no,yes,no,no,no,no,yes,no,no,no
Blue Cookies,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,no,no,yes,no,yes,no,yes,no,yes,no,no,no,yes,no,no,yes,no,no,no,no,no,no
Blue Crack,yes,yes,no,no,yes,yes,no,yes,yes,no,no,yes,yes,no,no,yes,no,no,no,yes,no,yes,yes,yes,yes,no,yes,no,no,no,no,no,no
Blue Diamond,yes,no,no,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,no,no,no,no,no
Blue Diesel,yes,yes,no,yes,yes,yes,no,yes,yes,no,yes,no,no,no,no,yes,yes,yes,no,yes,no,yes,no,yes,no,no,no,no,no,yes,no,no,no
Blue Dot,yes,no,no,no,yes,yes,no,yes,yes,no,no,yes,no,no,yes,yes,yes,yes,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no
Blue Dragon,yes,yes,no,yes,yes,yes,no,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no
Blue Dream,yes,yes,no,yes,yes,yes,no,yes,yes,no,yes,no,no,no,no,yes,no,yes,no,yes,no,yes,yes,yes,no,no,yes,no,no,no,no,no,no
Blue Dynamite,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,no,yes,no,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no
Blue Frost,yes,no,no,yes,yes,yes,yes,yes,yes,no,no,no,yes,no,no,yes,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no
Blue Galaxy,yes,no,no,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no
Blue God,yes,yes,no,yes,yes,no,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,no,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no
Blue Goo,yes,yes,no,yes,yes,yes,no,yes,yes,no,yes,no,no,no,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no
Blue Hash,yes,yes,yes,no,yes,yes,yes,yes,yes,no,no,no,no,yes,no,yes,yes,no,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no
Blue Hawaiian,yes,yes,no,yes,yes,yes,no,no,yes,no,no,yes,no,no,yes,yes,yes,yes,no,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,no
Blue Haze,yes,yes,no,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,yes,no,yes,no,yes,yes,no,yes,yes,no,no,yes,no,no,yes,no,no,no
Blue Heron,yes,no,no,no,yes,no,yes,yes,yes,yes,no,no,yes,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no
Blue Ivy,yes,yes,yes,no,no,yes,yes,yes,yes,no,no,no,no,no,no,yes,no,no,no,yes,no,no,yes,yes,yes,no,yes,no,no,no,no,no,no
Blue Jay Way,yes,no,no,yes,no,no,yes,yes,yes,yes,no,no,no,no,no,yes,no,yes,no,no,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no
Blue Kiss,yes,yes,no,yes,no,no,no,no,yes,no,yes,no,yes,yes,yes,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no
Blue Knight,yes,no,no,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,no,yes,no,no,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no
Blue Kripple,yes,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes
Blue Kush,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,no,yes,no,yes,no,yes,no,no,no,yes,no,no,yes,no,yes,no,no,no,no
Blue Lights,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes,yes,yes,yes,no,yes,no,no,no,yes,no,no,no,yes,no,no,no,no,no
Blue Magic,yes,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no,no,yes,no,yes,no,yes,no,yes,no,no,yes,no,no,no,no,no,yes,no,yes
Blue Magoo,yes,yes,no,yes,yes,yes,no,yes,yes,no,no,no,no,no,yes,yes,no,yes,no,yes,no,no,yes,yes,no,no,yes,no,no,no,no,no,no
Blue Monster,yes,no,yes,no,yes,yes,yes,yes,yes,no,no,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Blue Moon Rocks,yes,no,no,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,no,no,no,yes,no,yes,no,no,no,no,yes,yes,no,no,no,no,no
Blue Moonshine,yes,yes,no,yes,yes,yes,yes,no,yes,no,no,no,no,yes,yes,yes,yes,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no
Blue Mountain Fire,yes,no,no,yes,yes,yes,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no
Blue Mystic,yes,yes,no,no,yes,yes,no,yes,no,no,no,yes,no,no,yes,yes,no,yes,no,yes,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,no
Blue Nightmare,yes,no,no,yes,no,yes,yes,no,yes,no,yes,no,yes,no,yes,yes,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no
Blue OG,yes,yes,no,yes,yes,yes,no,yes,yes,no,yes,no,no,no,no,yes,yes,no,no,no,yes,yes,no,yes,no,no,yes,no,no,no,no,no,yes
Blue Ox,yes,no,no,yes,no,yes,no,yes,no,no,no,no,no,yes,no,yes,no,no,no,no,yes,yes,no,no,no,no,no,yes,no,no,no,no,no
Blue Persuasion,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Blue Power,yes,no,yes,yes,yes,yes,yes,no,yes,no,no,no,no,yes,yes,yes,yes,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no
Blue Rhino,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,yes,yes,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,yes
Blue Satellite,no,yes,no,yes,yes,yes,no,yes,yes,no,yes,yes,no,no,yes,yes,yes,no,no,yes,no,yes,no,yes,yes,no,no,no,no,no,no,no,no
Blue Sky,yes,no,no,no,yes,yes,no,no,yes,no,yes,no,no,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no
Blue Steel,yes,no,no,yes,no,no,no,yes,yes,no,yes,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Blue Thai,yes,no,no,no,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
Blue Trainwreck,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,no,yes,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no
Blue Treat,yes,no,yes,no,no,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no
Blue Velvet,yes,no,yes,no,yes,yes,no,no,yes,no,no,no,no,yes,no,yes,yes,yes,no,no,no,yes,yes,yes,no,no,no,yes,no,no,no,no,no
Blue Venom,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,no,yes,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no
Blue Widow,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,yes,yes,no,yes,no,yes,no,yes,no,no,yes,no,no,no,no,no,no
Blue Wonder,yes,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no
Blue Wreck,no,yes,no,no,no,yes,no,yes,yes,no,yes,yes,yes,no,no,yes,no,no,no,no,no,no,yes,yes,no,no,yes,no,no,no,yes,no,no
Blue Zombie,yes,no,yes,yes,no,no,yes,yes,no,yes,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,yes
Blueberry,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,yes,yes,no,yes,yes,no,yes,yes,no,no,no,no,no,no,no,no,no
Blueberry AK,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no
Blueberry Blast,no,no,no,yes,yes,yes,no,no,yes,no,no,yes,no,yes,yes,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
Blueberry Cheesecake,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,no,no,yes,no,yes,no,yes,no,yes,no,no,no,yes,no,no,yes,no,no,no,no,no,no
Blueberry Diesel,yes,yes,no,yes,yes,yes,no,yes,yes,no,yes,no,no,no,no,yes,yes,yes,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,yes,no
Blueberry Dream,yes,no,no,no,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,yes,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no
Blueberry Essence,yes,no,no,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,yes,no,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,yes
Blueberry Haze,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,yes,no,no,no,yes,yes,yes,no,yes,no,no,no,yes,no,no,no,no,no,yes,no,no,no
Blueberry Headband,yes,yes,no,yes,yes,yes,no,no,yes,no,no,no,no,yes,yes,yes,yes,yes,no,yes,no,no,yes,yes,no,no,no,yes,no,no,no,no,no
