,Relaxed,Dizzy,Hungry,Euphoric,Happy,Depression,Insomnia,Pain,Stress,Cramps,Creative,Energetic,Talkative,Lack of Appetite,Nausea,Dry Mouth,Headache,Uplifted,Tingly,Paranoid,Sleepy,Fatigue,Headaches,Dry Eyes,Focused,Eye Pressure,Anxious,Giggly,Aroused,Inflammation,Spasticity,Seizures,Muscle Spasms
Banana Kush,yes,yes,no,no,yes,yes,yes,yes,yes,no,yes,no,no,yes,no,yes,yes,yes,no,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,no
Banana OG,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,no,yes,no,yes,yes,no,yes,yes,no,no,yes,no,no,no,no,no,no
Banana Peel,yes,no,no,yes,yes,yes,no,yes,yes,no,yes,no,no,no,no,no,no,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no
Bananas,yes,no,yes,no,yes,yes,no,yes,yes,no,no,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
Bandana,yes,no,no,yes,yes,yes,no,yes,yes,no,yes,no,no,no,no,no,no,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no
Bango,no,no,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no
Barbara Bud,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,yes,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,yes
Batman OG,yes,no,no,no,yes,yes,yes,no,no,no,yes,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,yes,no,yes,no,no,no,no,no
Bay 11,yes,no,no,no,yes,yes,no,yes,yes,no,yes,yes,no,no,no,yes,no,yes,no,yes,no,no,no,yes,no,no,yes,no,no,yes,yes,no,no
Bay Dream,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,no,yes,no,yes,no,no,no,yes,no,no,yes,yes,yes,no,yes,no,no,no,no,no,no
Beastmode 2.0,yes,no,no,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
Beastmode OG,yes,no,no,yes,yes,yes,no,yes,yes,no,no,no,no,yes,no,yes,no,yes,no,no,no,yes,no,yes,no,no,no,yes,no,no,no,no,no
Bedford Glue,yes,no,no,yes,yes,no,no,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,yes,yes
